"ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1","Shape_Length","Shape_Area"
50,"COD","Democratic Republic of the Congo",1,"Ã‰quateur","Province","Province",NA,"Equator|Equatorial",36.5501316209728,32.8491571016087
50,"COD","Democratic Republic of the Congo",2,"Bandundu","Province","Province",NA,NA,25.5401381807422,24.1177046962502
50,"COD","Democratic Republic of the Congo",3,"Bas-Congo","Province","Province",NA,"Bas-Zaire|Bas-ZaÃ¯re|Kongo-Central|Lower Zaire",14.7871124503842,4.41501262510317
50,"COD","Democratic Republic of the Congo",4,"KasaÃ¯-Occidental","Province","Province",NA,"Kasai West|West Kasai|West Kassai",19.5458806136574,12.489354639137
50,"COD","Democratic Republic of the Congo",5,"KasaÃ¯-Oriental","Province","Province",NA,"East Kasai|Kasai East",24.9008130112978,13.7596450351219
50,"COD","Democratic Republic of the Congo",6,"Katanga","Province","Province",NA,"Shaba",41.4709274419804,40.1199306696043
50,"COD","Democratic Republic of the Congo",7,"Kinshasa City","Neutral City","Neutral City",NA,"Kinshasa|LÃ©opoldville",4.7456811630676,0.894537975290286
50,"COD","Democratic Republic of the Congo",8,"Kivu","Province","Province",NA,"Kivou",27.2620338535017,20.4758497608038
50,"COD","Democratic Republic of the Congo",9,"Orientale","Province","Province",NA,"Haut-Zaire|Haut-ZaÃ¯reUpper Zaire",43.0231614890845,40.7972720639983
